Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr3:46653694-46654194,chr3,46653694,46654194,3.16402E-11,FAM240A,1,plum
chr7:92347171-92347671,chr7,92347171,92347671,3.16526E-11,SAMD9L,1,plum
chr9:136781291-136781791,chr9,136781291,136781791,3.7957E-11,VAV2,1,plum
chr3:45709339-45709839,chr3,45709339,45709839,4.0098E-11,"TMEM158, LIMD1",2,plum
chr7:111202322-111202822,chr7,111202322,111202822,4.28991E-11,IMMP2L,1,plum
chr7:33758516-33759016,chr7,33758516,33759016,4.65977E-11,BMPER,1,plum
chr2:183903019-183903519,chr2,183903019,183903519,4.98497E-11,NCKAP1,1,plum
chr3:42775051-42775551,chr3,42775051,42775551,5.06134E-11,ZBTB47,1,plum
chr17:70147122-70147622,chr17,70147122,70147622,5.11473E-11,SOX9,1,plum
chr17:15163962-15164462,chr17,15163962,15164462,5.3151E-11,PMP22,1,plum
chr2:119586804-119587304,chr2,119586804,119587304,5.34524E-11,EN1,1,plum
chr22:26630282-26630782,chr22,26630282,26630782,5.55039E-11,SRRD,1,plum
chrX:31526513-31527013,chrX,31526513,31527013,5.76631E-11,DMD,1,plum
chr17:64974517-64975017,chr17,64974517,64975017,5.91151E-11,"CACNG4, CACNG1",2,plum
chr15:48010407-48010907,chr15,48010407,48010907,6.031E-11,SEMA6D,1,plum
chr17:908620-909120,chr17,908620,909120,6.14338E-11,"GLOD4, MRM3, TIMM22, YWHAE",4,plum
chr3:8810958-8811458,chr3,8810958,8811458,6.17331E-11,OXTR,1,plum
chr17:30913636-30914136,chr17,30913636,30914136,6.82083E-11,ZNF207,1,plum
chr7:121784131-121784631,chr7,121784131,121784631,8.09786E-11,AASS,1,plum
chr4:159085320-159085820,chr4,159085320,159085820,8.24458E-11,GASK1B,1,plum
chr3:8826634-8827134,chr3,8826634,8827134,8.48428E-11,OXTR,1,plum
chr10:31708532-31709032,chr10,31708532,31709032,8.9152E-11,ZEB1,1,plum
chr1:68698006-68698506,chr1,68698006,68698506,9.48081E-11,WLS,1,plum
chr8:33424482-33424982,chr8,33424482,33424982,9.51398E-11,RNF122,1,plum
chr12:4381057-4381557,chr12,4381057,4381557,9.56819E-11,CCND2,1,plum
chr2:237478180-237478680,chr2,237478180,237478680,9.80097E-11,ACKR3,1,plum
chr7:150924158-150924658,chr7,150924158,150924658,9.86562E-11,LOC114483834,1,plum
chr20:46415169-46415669,chr20,46415169,46415669,1.03573E-10,SULF2,1,plum
chr3:152878912-152879412,chr3,152878912,152879412,1.03984E-10,RAP2B,1,plum
chr6:154800265-154800765,chr6,154800265,154800765,1.1137E-10,CNKSR3,1,plum
chr11:125141459-125141959,chr11,125141459,125141959,1.11894E-10,PKNOX2,1,plum
chr7:150102182-150102682,chr7,150102182,150102682,1.13639E-10,LOC728743,1,plum
chr7:121036228-121036728,chr7,121036228,121036728,1.18744E-10,FAM3C,1,plum
chr1:198126533-198127033,chr1,198126533,198127033,1.21878E-10,DENND1B,1,plum
chr4:174320139-174320639,chr4,174320139,174320639,1.25304E-10,SCRG1,1,plum
chr8:121369673-121370173,chr8,121369673,121370173,1.2567E-10,MTBP,1,plum
chr12:7008944-7009444,chr12,7008944,7009444,1.33907E-10,"LPAR5, CD4",2,plum
chr3:116164096-116164596,chr3,116164096,116164596,1.5924E-10,LSAMP,1,plum
chr3:120169624-120170124,chr3,120169624,120170124,1.66604E-10,FSTL1,1,plum
chr7:100065510-100066010,chr7,100065510,100066010,1.67554E-10,C7orf61,1,plum
chr5:58295606-58296106,chr5,58295606,58296106,1.72918E-10,PDE4D,1,plum
chr3:119041694-119042194,chr3,119041694,119042194,1.77435E-10,ARHGAP31-AS1,1,plum
chr17:16341898-16342398,chr17,16341898,16342398,1.98201E-10,"SNHG29, SNORD49B",2,plum
chr19:31565579-31566079,chr19,31565579,31566079,1.98623E-10,TSHZ3,1,plum
chr3:36207888-36208388,chr3,36207888,36208388,2.00297E-10,STAC,1,plum
chr3:138066981-138067481,chr3,138066981,138067481,2.05845E-10,MRAS,1,plum
chr11:57546032-57546532,chr11,57546032,57546532,2.12388E-10,CTNND1,1,plum
chr7:30790478-30790978,chr7,30790478,30790978,2.23684E-10,ADCYAP1R1,1,plum
chr17:28618869-28619369,chr17,28618869,28619369,2.46856E-10,BLMH,1,plum
chr17:41158512-41159012,chr17,41158512,41159012,2.53918E-10,IFI35,1,plum
chr5:127639754-127640254,chr5,127639754,127640254,2.56465E-10,FBN2,1,plum
chr2:164592571-164593071,chr2,164592571,164593071,2.65745E-10,FIGN,1,plum
chr3:171870987-171871487,chr3,171870987,171871487,2.67672E-10,FNDC3B,1,plum
chr7:25019655-25020155,chr7,25019655,25020155,2.71927E-10,OSBPL3,1,plum
chr17:38136610-38137110,chr17,38136610,38137110,2.74203E-10,PSMD3,1,plum
chr4:5140031-5140531,chr4,5140031,5140531,2.8607E-10,STK32B,1,plum
chr7:28793607-28794107,chr7,28793607,28794107,2.91482E-10,CREB5,1,plum
chr3:133573070-133573570,chr3,133573070,133573570,2.96411E-10,RYK,1,plum
chr7:35840419-35840919,chr7,35840419,35840919,3.24759E-10,"SEPTIN7, SEPTIN7-AS1",2,plum
chr9:98878756-98879256,chr9,98878756,98879256,3.63445E-10,LOC158434,1,plum
chr20:45560272-45560772,chr20,45560272,45560772,3.76461E-10,SLC2A10,1,plum
chr3:126074613-126075113,chr3,126074613,126075113,3.93998E-10,"ALDH1L1-AS2, KLF15",2,plum
chr3:58563111-58563611,chr3,58563111,58563611,4.29377E-10,FAM107A,1,plum
chr3:43037298-43037798,chr3,43037298,43037798,4.44753E-10,GASK1A,1,plum
chr7:25891174-25891674,chr7,25891174,25891674,4.4614E-10,LOC646588,1,plum
chr8:38644420-38644920,chr8,38644420,38644920,4.5777E-10,TACC1,1,plum
chr4:5423851-5424351,chr4,5423851,5424351,4.81925E-10,"CYTL1, STK32B",2,plum
chr17:39992259-39992759,chr17,39992259,39992759,5.1247E-10,NT5C3B,1,plum
chr3:55520061-55520561,chr3,55520061,55520561,5.53169E-10,WNT5A,1,plum
chr3:33156569-33157069,chr3,33156569,33157069,6.55054E-10,"GLB1, CRTAP",2,plum
chr8:127570468-127570968,chr8,127570468,127570968,6.774E-10,LRATD2,1,plum
chr15:42970369-42970869,chr15,42970369,42970869,7.16184E-10,"VPS39, ZNF106",2,plum
chr7:47519832-47520332,chr7,47519832,47520332,7.4326E-10,HUS1,1,plum
chr7:41995428-41995928,chr7,41995428,41995928,7.97959E-10,GLI3,1,plum
chr19:31899330-31899830,chr19,31899330,31899830,8.0591E-10,TSHZ3,1,plum
chr3:33759509-33760009,chr3,33759509,33760009,8.53138E-10,CLASP2,1,plum
chr7:27702373-27702873,chr7,27702373,27702873,8.6141E-10,HIBADH,1,plum
chr17:64972737-64973237,chr17,64972737,64973237,8.73758E-10,"CACNG4, CACNG1",2,plum
chr10:24497592-24498092,chr10,24497592,24498092,8.74274E-10,KIAA1217,1,plum
chr4:57985237-57985737,chr4,57985237,57985737,9.3981E-10,REST,1,plum
chr1:160037966-160038466,chr1,160037966,160038466,9.82416E-10,"PEA15, DCAF8",2,plum
chr15:90717716-90718216,chr15,90717716,90718216,1.0407E-09,SEMA4B,1,plum
chr15:86125828-86126328,chr15,86125828,86126328,1.13412E-09,AKAP13,1,plum
chr5:125758861-125759361,chr5,125758861,125759361,1.16488E-09,GRAMD2B,1,plum
chr7:16685171-16685671,chr7,16685171,16685671,1.2105E-09,"ANKMY2, BZW2",2,plum
chr3:157823325-157823825,chr3,157823325,157823825,1.35687E-09,"SHOX2, RSRC1",2,plum
chr2:160471837-160472337,chr2,160471837,160472337,1.46652E-09,BAZ2B,1,plum
chr10:95513380-95513880,chr10,95513380,95513880,1.47411E-09,LGI1,1,plum
chr12:104850374-104850874,chr12,104850374,104850874,1.47617E-09,CHST11,1,plum
chr19:11248278-11248778,chr19,11248278,11248778,1.54903E-09,ZNF627,1,plum
chr7:102257108-102257608,chr7,102257108,102257608,1.56267E-09,RASA4,1,plum
chr2:119521233-119521733,chr2,119521233,119521733,1.70742E-09,EN1,1,plum
chr17:71307951-71308451,chr17,71307951,71308451,1.8459E-09,CDC42EP4,1,plum
chr1:203243709-203244209,chr1,203243709,203244209,1.86984E-09,"BTG2, PRELP",2,plum
chr17:34136167-34136667,chr17,34136167,34136667,2.01658E-09,TAF15,1,plum
chr7:33796513-33797013,chr7,33796513,33797013,2.04818E-09,BMPER,1,plum
chr5:72112248-72112748,chr5,72112248,72112748,2.16404E-09,TNPO1,1,plum
chr14:23835264-23835764,chr14,23835264,23835764,2.33097E-09,EFS,1,plum
chr17:5322818-5323318,chr17,5322818,5323318,2.43369E-09,NUP88,1,plum
chr12:54763966-54764466,chr12,54763966,54764466,2.49233E-09,"HOXC13, HOXC11, HOXC9, LINC02381",4,plum
chr1:156358258-156358758,chr1,156358258,156358758,2.50732E-09,"SLC25A44, PMF1, C1orf61, MRPL24",4,plum
chr2:176962896-176963396,chr2,176962896,176963396,2.5168E-09,"HOXD12, HOXD9",2,plum
chr8:80779262-80779762,chr8,80779262,80779762,2.62074E-09,HEY1,1,plum
chr7:29906102-29906602,chr7,29906102,29906602,2.80073E-09,WIPF3,1,plum
chr17:11501478-11501978,chr17,11501478,11501978,2.88058E-09,DNAH9,1,plum
chr3:36566825-36567325,chr3,36566825,36567325,3.03944E-09,STAC,1,plum
chr7:129007353-129007853,chr7,129007353,129007853,3.04924E-09,AHCYL2,1,plum
chr17:30263749-30264249,chr17,30263749,30264249,3.25054E-09,SUZ12,1,plum
chr19:24097385-24097885,chr19,24097385,24097885,3.28515E-09,ZNF726,1,plum
chr11:16635125-16635625,chr11,16635125,16635625,3.37002E-09,SOX6,1,plum
chr8:95274303-95274803,chr8,95274303,95274803,3.40747E-09,GEM,1,plum
chr1:245259560-245260060,chr1,245259560,245260060,3.48273E-09,KIF26B,1,plum
chr3:25469456-25469956,chr3,25469456,25469956,3.85897E-09,RARB,1,plum
chr19:19976382-19976882,chr19,19976382,19976882,3.8712E-09,ZNF253,1,plum
chr17:70650885-70651385,chr17,70650885,70651385,4.0663E-09,"LINC00673, LINC00511",2,plum
chr10:24496631-24497131,chr10,24496631,24497131,4.19601E-09,KIAA1217,1,plum
chr19:20844191-20844691,chr19,20844191,20844691,4.23497E-09,ZNF626,1,plum
chr8:92225192-92225692,chr8,92225192,92225692,4.77253E-09,SLC26A7,1,plum
chr6:149069554-149070054,chr6,149069554,149070054,4.9069E-09,UST,1,plum
chr5:34656107-34656607,chr5,34656107,34656607,4.9671E-09,RAI14,1,plum
chr7:7606266-7606766,chr7,7606266,7606766,5.24057E-09,"LOC101927391, MIOS",2,plum
chr1:203122219-203122719,chr1,203122219,203122719,5.40411E-09,"MYOG, ATP2B4",2,plum
chr3:148415428-148415928,chr3,148415428,148415928,5.54064E-09,AGTR1,1,plum
chr2:201171103-201171603,chr2,201171103,201171603,5.57738E-09,SPATS2L,1,plum
chr22:29702061-29702561,chr22,29702061,29702561,5.61069E-09,GAS2L1,1,plum
chr17:8042079-8042579,chr17,8042079,8042579,5.84611E-09,RANGRF,1,plum
chr7:117823889-117824389,chr7,117823889,117824389,5.85398E-09,LSM8,1,plum
chr7:150756375-150756875,chr7,150756375,150756875,5.88363E-09,SLC4A2,1,plum
chr7:8008088-8008588,chr7,8008088,8008588,6.19798E-09,"GLCCI1, GLCCI1-DT",2,plum
chr9:78505289-78505789,chr9,78505289,78505789,6.27227E-09,PCSK5,1,plum
chr10:35932009-35932509,chr10,35932009,35932509,6.27309E-09,FZD8,1,plum
chr17:25783161-25783661,chr17,25783161,25783661,6.27421E-09,KSR1,1,plum
chr19:31754220-31754720,chr19,31754220,31754720,6.72827E-09,TSHZ3,1,plum
chr7:132937517-132938017,chr7,132937517,132938017,6.83265E-09,EXOC4,1,plum
chr7:92076496-92076996,chr7,92076496,92076996,7.0678E-09,GATAD1,1,plum
chr19:23456822-23457322,chr19,23456822,23457322,7.24897E-09,IPO5P1,1,plum
chr7:107779370-107779870,chr7,107779370,107779870,7.29535E-09,SLC26A4,1,plum
chr7:2598389-2598889,chr7,2598389,2598889,7.30551E-09,IQCE,1,plum
chr17:8534030-8534530,chr17,8534030,8534530,7.37114E-09,MYH10,1,plum
chr11:70393890-70394390,chr11,70393890,70394390,5.03682E-26,SHANK2,1,lightcoral
chr19:3881432-3881932,chr19,3881432,3881932,2.39184E-24,"ATCAY, FSD1",2,lightcoral
chr5:176229925-176230425,chr5,176229925,176230425,1.1347E-22,GPRIN1,1,lightcoral
chr1:223536339-223536839,chr1,223536339,223536839,5.63938E-22,"SUSD4, CCDC185",2,lightcoral
chr20:62797105-62797605,chr20,62797105,62797605,9.09228E-22,MYT1,1,lightcoral
chr4:5891815-5892315,chr4,5891815,5892315,4.246E-21,CRMP1,1,lightcoral
chr2:236223183-236223683,chr2,236223183,236223683,6.33093E-21,SH3BP4,1,lightcoral
chr11:64405371-64405871,chr11,64405371,64405871,1.13645E-20,"SF1, CDCA5",2,lightcoral
chr1:179772220-179772720,chr1,179772220,179772720,6.6418E-20,MIR12116,1,lightcoral
chrX:153144788-153145288,chrX,153144788,153145288,4.48523E-19,L1CAM,1,lightcoral
chr6:90274019-90274519,chr6,90274019,90274519,4.73979E-19,SRSF12,1,lightcoral
chr17:56832893-56833393,chr17,56832893,56833393,5.97342E-19,PPM1E,1,lightcoral
chr20:62795672-62796172,chr20,62795672,62796172,9.25021E-19,MYT1,1,lightcoral
chr22:37802415-37802915,chr22,37802415,37802915,1.10626E-18,PDXP,1,lightcoral
chr6:42420567-42421067,chr6,42420567,42421067,1.4652E-18,TRERF1,1,lightcoral
chr18:43913684-43914184,chr18,43913684,43914184,3.34037E-18,RNF165,1,lightcoral
chr5:141127788-141128288,chr5,141127788,141128288,6.83712E-18,RELL2,1,lightcoral
chr4:5895915-5896415,chr4,5895915,5896415,8.99909E-18,CRMP1,1,lightcoral
chr20:36024777-36025277,chr20,36024777,36025277,1.22905E-17,SRC,1,lightcoral
chr1:231297541-231298041,chr1,231297541,231298041,1.37528E-17,TRIM67,1,lightcoral
chr8:56014302-56014802,chr8,56014302,56014802,1.41761E-17,XKR4,1,lightcoral
chr8:9761689-9762189,chr8,9761689,9762189,2.30973E-17,MIR124-1,1,lightcoral
chr11:77300683-77301183,chr11,77300683,77301183,3.26159E-17,AQP11,1,lightcoral
chr5:14457582-14458082,chr5,14457582,14458082,3.28681E-17,TRIO,1,lightcoral
chr1:200975604-200976104,chr1,200975604,200976104,3.29068E-17,CAMSAP2,1,lightcoral
chr7:26389246-26389746,chr7,26389246,26389746,4.14662E-17,CBX3,1,lightcoral
chr1:223537437-223537937,chr1,223537437,223537937,6.07812E-17,SUSD4,1,lightcoral
chr15:75251503-75252003,chr15,75251503,75252003,8.87517E-17,EDC3,1,lightcoral
chr11:61595234-61595734,chr11,61595234,61595734,1.12991E-16,FADS2,1,lightcoral
chr2:26934656-26935156,chr2,26934656,26935156,1.81091E-16,CENPA,1,lightcoral
chr15:73610945-73611445,chr15,73610945,73611445,1.92914E-16,HCN4,1,lightcoral
chr1:50569412-50569912,chr1,50569412,50569912,2.49836E-16,ELAVL4,1,lightcoral
chr3:118360348-118360848,chr3,118360348,118360848,3.87324E-16,LOC101926968,1,lightcoral
chr1:151682640-151683140,chr1,151682640,151683140,4.50112E-16,"CELF3, RIIAD1, TDRKH, TDRKH-AS1",4,lightcoral
chr11:70563946-70564446,chr11,70563946,70564446,8.64939E-16,SHANK2,1,lightcoral
chr5:57877667-57878167,chr5,57877667,57878167,9.16153E-16,RAB3C,1,lightcoral
chr11:64489544-64490044,chr11,64489544,64490044,1.80428E-15,NRXN2,1,lightcoral
chr20:62798017-62798517,chr20,62798017,62798517,3.3965E-15,MYT1,1,lightcoral
chr20:828825-829325,chr20,828825,829325,3.4833E-15,"SCRT2, FAM110A",2,lightcoral
chr11:61602036-61602536,chr11,61602036,61602536,3.63958E-15,"FADS1, INCENP",2,lightcoral
chr2:207307877-207308377,chr2,207307877,207308377,4.22174E-15,ADAM23,1,lightcoral
chr2:27070631-27071131,chr2,27070631,27071131,5.46224E-15,DPYSL5,1,lightcoral
chr20:36022853-36023353,chr20,36022853,36023353,5.97833E-15,SRC,1,lightcoral
chr1:41102371-41102871,chr1,41102371,41102871,6.70632E-15,RIMS3,1,lightcoral
chr4:41258601-41259101,chr4,41258601,41259101,7.71535E-15,"UCHL1, UCHL1-AS1",2,lightcoral
chr7:50599293-50599793,chr7,50599293,50599793,9.18859E-15,DDC-AS1,1,lightcoral
chr4:5890015-5890515,chr4,5890015,5890515,9.31437E-15,CRMP1,1,lightcoral
chr1:110718944-110719444,chr1,110718944,110719444,1.58011E-14,STRIP1,1,lightcoral
chr7:44953727-44954227,chr7,44953727,44954227,1.61704E-14,"H2AZ2, TBRG4",2,lightcoral
chr4:5894661-5895161,chr4,5894661,5895161,1.62343E-14,CRMP1,1,lightcoral
chrX:69665561-69666061,chrX,69665561,69666061,1.86552E-14,"DLG3, SLC7A3",2,lightcoral
chr1:159912345-159912845,chr1,159912345,159912845,2.00422E-14,IGSF9,1,lightcoral
chrX:53291323-53291823,chrX,53291323,53291823,2.23098E-14,"KDM5C, HUWE1",2,lightcoral
chr1:53128516-53129016,chr1,53128516,53129016,2.81684E-14,"COA7, ZYG11B",2,lightcoral
chr1:50605236-50605736,chr1,50605236,50605736,2.93899E-14,ELAVL4,1,lightcoral
chr19:42675928-42676428,chr19,42675928,42676428,3.22628E-14,ATP1A3,1,lightcoral
chr5:73592750-73593250,chr5,73592750,73593250,3.38389E-14,ENC1,1,lightcoral
chr11:43596878-43597378,chr11,43596878,43597378,3.74379E-14,MIR670HG,1,lightcoral
chr20:824969-825469,chr20,824969,825469,5.8829E-14,FAM110A,1,lightcoral
chr15:66298691-66299191,chr15,66298691,66299191,6.20658E-14,"RAB11A, ZWILCH",2,lightcoral
chr10:105262418-105262918,chr10,105262418,105262918,6.26113E-14,"INA, NEURL1",2,lightcoral
chr5:10337987-10338487,chr5,10337987,10338487,7.07649E-14,CCT5,1,lightcoral
chr11:1432114-1432614,chr11,1432114,1432614,8.09669E-14,BRSK2,1,lightcoral
chr1:37740735-37741235,chr1,37740735,37741235,8.53005E-14,CDCA8,1,lightcoral
chr17:52977847-52978347,chr17,52977847,52978347,8.54779E-14,TOM1L1,1,lightcoral
chr1:41130283-41130783,chr1,41130283,41130783,8.82435E-14,"ZFP69B, RIMS3",2,lightcoral
chr1:111217351-111217851,chr1,111217351,111217851,9.3868E-14,KCNA3,1,lightcoral
chr18:43918721-43919221,chr18,43918721,43919221,1.09192E-13,RNF165,1,lightcoral
chr11:17755970-17756470,chr11,17755970,17756470,1.23253E-13,KCNC1,1,lightcoral
chr2:231734361-231734861,chr2,231734361,231734861,1.36363E-13,CAB39,1,lightcoral
chr1:159801102-159801602,chr1,159801102,159801602,1.51414E-13,IGSF9,1,lightcoral
chr5:43191926-43192426,chr5,43191926,43192426,1.67062E-13,NIM1K,1,lightcoral
chr2:231750508-231751008,chr2,231750508,231751008,1.74208E-13,GCSIR,1,lightcoral
chr7:75845921-75846421,chr7,75845921,75846421,1.83167E-13,YWHAG,1,lightcoral
chr2:219824071-219824571,chr2,219824071,219824571,2.00569E-13,CDK5R2,1,lightcoral
chr3:183979302-183979802,chr3,183979302,183979802,2.35546E-13,CAMK2N2,1,lightcoral
chr18:35030315-35030815,chr18,35030315,35030815,2.40642E-13,CELF4,1,lightcoral
chr17:56591182-56591682,chr17,56591182,56591682,2.61798E-13,"MTMR4, RAD51C, PPM1E",3,lightcoral
chr1:11751350-11751850,chr1,11751350,11751850,2.62887E-13,"DRAXIN, MAD2L2",2,lightcoral
chr12:58025673-58026173,chr12,58025673,58026173,2.70002E-13,"ARHGEF25, B4GALNT1, AGAP2",3,lightcoral
chr6:90263172-90263672,chr6,90263172,90263672,3.00785E-13,"SRSF12, ANKRD6, CASP8AP2",3,lightcoral
chr3:140812377-140812877,chr3,140812377,140812877,3.34268E-13,SPSB4,1,lightcoral
chr22:27053262-27053762,chr22,27053262,27053762,3.35914E-13,MIAT,1,lightcoral
chr1:35395082-35395582,chr1,35395082,35395582,3.62425E-13,DLGAP3,1,lightcoral
chr15:72598784-72599284,chr15,72598784,72599284,3.80772E-13,CELF6,1,lightcoral
chr18:72980408-72980908,chr18,72980408,72980908,3.96197E-13,TSHZ1,1,lightcoral
chr1:31711946-31712446,chr1,31711946,31712446,4.32442E-13,NKAIN1,1,lightcoral
chr5:150535277-150535777,chr5,150535277,150535777,5.14294E-13,"MYOZ3, ZNF300",2,lightcoral
chr6:66417284-66417784,chr6,66417284,66417784,5.90281E-13,EYS,1,lightcoral
chr6:43043649-43044149,chr6,43043649,43044149,5.96599E-13,PTK7,1,lightcoral
chr1:36173213-36173713,chr1,36173213,36173713,7.00613E-13,"PSMB2, AGO1",2,lightcoral
chr11:119293694-119294194,chr11,119293694,119294194,7.36873E-13,THY1,1,lightcoral
chr22:21368372-21368872,chr22,21368372,21368872,7.75933E-13,"P2RX6, TUBA3FP",2,lightcoral
chr17:48206503-48207003,chr17,48206503,48207003,8.2551E-13,"SAMD14, LRRC59, CACNA1G, CACNA1G-AS1",4,lightcoral
chr6:44238610-44239110,chr6,44238610,44239110,8.96598E-13,"HSP90AB1, TMEM151B",2,lightcoral
chr1:154547200-154547700,chr1,154547200,154547700,9.22825E-13,CHRNB2,1,lightcoral
chr1:32211828-32212328,chr1,32211828,32212328,9.40851E-13,KHDRBS1,1,lightcoral
chr7:137530307-137530807,chr7,137530307,137530807,9.62281E-13,DGKI,1,lightcoral
chr6:100229294-100229794,chr6,100229294,100229794,1.05052E-12,PRDM13,1,lightcoral
chr1:3528015-3528515,chr1,3528015,3528515,1.08372E-12,MEGF6,1,lightcoral
chr4:5890575-5891075,chr4,5890575,5891075,1.1023E-12,CRMP1,1,lightcoral
chr4:6502760-6503260,chr4,6502760,6503260,1.1254E-12,"C4orf50, JAKMIP1",2,lightcoral
chr7:5510307-5510807,chr7,5510307,5510807,1.14803E-12,LOC100129484,1,lightcoral
chr12:58026738-58027238,chr12,58026738,58027238,1.2276E-12,B4GALNT1,1,lightcoral
chr11:61600148-61600648,chr11,61600148,61600648,1.29596E-12,INCENP,1,lightcoral
chr3:53545265-53545765,chr3,53545265,53545765,1.40275E-12,CACNA1D,1,lightcoral
chr9:135363923-135364423,chr9,135363923,135364423,1.43677E-12,BARHL1,1,lightcoral
chr9:130516255-130516755,chr9,130516255,130516755,1.55118E-12,"STXBP1, SH2D3C, DNM1",3,lightcoral
chr10:70030821-70031321,chr10,70030821,70031321,1.58618E-12,HNRNPH3,1,lightcoral
chr20:44821103-44821603,chr20,44821103,44821603,1.83819E-12,"UBE2C, NCOA5",2,lightcoral
chr22:42347912-42348412,chr22,42347912,42348412,1.8781E-12,LINC00634,1,lightcoral
chr11:70457190-70457690,chr11,70457190,70457690,1.98319E-12,SHANK2,1,lightcoral
chr11:70368846-70369346,chr11,70368846,70369346,2.0529E-12,SHANK2,1,lightcoral
chr5:72921681-72922181,chr5,72921681,72922181,2.07998E-12,ARHGEF28,1,lightcoral
chr6:127839806-127840306,chr6,127839806,127840306,2.18569E-12,KIAA0408,1,lightcoral
chr2:241771581-241772081,chr2,241771581,241772081,2.21029E-12,KIF1A,1,lightcoral
chr18:43915311-43915811,chr18,43915311,43915811,2.62278E-12,"RNF165, ST8SIA5",2,lightcoral
chrX:132914495-132914995,chrX,132914495,132914995,2.81685E-12,GPC3,1,lightcoral
chr20:36225391-36225891,chr20,36225391,36225891,2.84687E-12,SRC,1,lightcoral
chr6:99796143-99796643,chr6,99796143,99796643,3.15473E-12,FAXC,1,lightcoral
chr18:78004212-78004712,chr18,78004212,78004712,3.71512E-12,PARD6G,1,lightcoral
chr17:49896596-49897096,chr17,49896596,49897096,4.21571E-12,CA10,1,lightcoral
chr2:171676289-171676789,chr2,171676289,171676789,4.24827E-12,GAD1,1,lightcoral
chr2:219825421-219825921,chr2,219825421,219825921,4.44126E-12,"FEV, CRYBA2",2,lightcoral
chr1:94187800-94188300,chr1,94187800,94188300,4.46522E-12,DR1,1,lightcoral
chr1:229546792-229547292,chr1,229546792,229547292,4.66297E-12,CCSAP,1,lightcoral
chr11:70454921-70455421,chr11,70454921,70455421,4.76914E-12,SHANK2,1,lightcoral
chr18:31738893-31739393,chr18,31738893,31739393,4.82594E-12,NOL4,1,lightcoral
chr6:41862873-41863373,chr6,41862873,41863373,5.05705E-12,USP49,1,lightcoral
chr22:37812846-37813346,chr22,37812846,37813346,5.12867E-12,"LOC100506271, PDXP, ANKRD54",3,lightcoral
chr2:26915355-26915855,chr2,26915355,26915855,5.75492E-12,KCNK3,1,lightcoral
chr1:110780364-110780864,chr1,110780364,110780864,5.82367E-12,"STRIP1, RBM15, KCNA3",3,lightcoral
chr1:214537705-214538205,chr1,214537705,214538205,6.06558E-12,SMYD2,1,lightcoral
chr4:5893977-5894477,chr4,5893977,5894477,7.17541E-12,CRMP1,1,lightcoral
chr1:40915520-40916020,chr1,40915520,40916020,7.31359E-12,ZFP69B,1,lightcoral
chr1:3527031-3527531,chr1,3527031,3527531,7.48892E-12,"TP73, LRRC47",2,lightcoral
chr1:200984541-200985041,chr1,200984541,200985041,7.66838E-12,KIF21B,1,lightcoral
chr2:171627160-171627660,chr2,171627160,171627660,8.63381E-12,LOC101926913,1,lightcoral
chr6:29600753-29601253,chr6,29600753,29601253,9.53698E-12,GABBR1,1,lightcoral
chr12:132314959-132315459,chr12,132314959,132315459,9.64723E-12,MMP17,1,lightcoral
chr1:40157293-40157793,chr1,40157293,40157793,9.99867E-12,HPCAL4,1,lightcoral
chr4:41259232-41259732,chr4,41259232,41259732,1.06883E-11,UCHL1-AS1,1,lightcoral
chrX:101801558-101802058,chrX,101801558,101802058,1.0917E-11,"GPRASP1, BHLHB9",2,lightcoral
chrX:68370457-68370957,chrX,68370457,68370957,1.15941E-11,PJA1,1,lightcoral
chr3:10412716-10413216,chr3,10412716,10413216,1.22908E-11,VHL,1,lightcoral
chr1:54925355-54925855,chr1,54925355,54925855,1.26514E-11,"CYB5RL, MRPL37",2,lightcoral
chr6:127837105-127837605,chr6,127837105,127837605,1.36257E-11,"KIAA0408, SOGA3",2,lightcoral
chrX:153557626-153558126,chrX,153557626,153558126,1.38524E-11,HCFC1,1,lightcoral
chrX:110187911-110188411,chrX,110187911,110188411,1.47097E-11,"PAK3, DCX",2,lightcoral
chr1:184355855-184356355,chr1,184355855,184356355,1.55785E-11,C1orf21,1,lightcoral
chr4:5914191-5914691,chr4,5914191,5914691,1.60911E-11,CRMP1,1,lightcoral
chr12:49209045-49209545,chr12,49209045,49209545,1.66476E-11,CACNB3,1,lightcoral
chr15:69386944-69387444,chr15,69386944,69387444,1.78005E-11,"ANP32A, KIF23",2,lightcoral
chr2:100590669-100591169,chr2,100590669,100591169,1.79599E-11,LONRF2,1,lightcoral
chr14:67958820-67959320,chr14,67958820,67959320,1.80756E-11,ARG2,1,lightcoral
chr19:23257694-23258194,chr19,23257694,23258194,2.11804E-11,"ZNF723, ZNF730, LINC01224",3,lightcoral
chr18:34073533-34074033,chr18,34073533,34074033,2.17461E-11,RPRD1A,1,lightcoral
chr1:3490007-3490507,chr1,3490007,3490507,2.46901E-11,"TP73, LRRC47",2,lightcoral
chr1:229694357-229694857,chr1,229694357,229694857,2.47194E-11,ABCB10,1,lightcoral
chr1:159911292-159911792,chr1,159911292,159911792,2.66407E-11,IGSF9,1,lightcoral
chr22:24988884-24989384,chr22,24988884,24989384,2.66446E-11,LRRC75B,1,lightcoral
chr3:142442648-142443148,chr3,142442648,142443148,2.89602E-11,TRPC1,1,lightcoral
